,Alb,Ale,Aus,Bel,Bie,Bos,Bul,Cro ,Din,Esq,Esl,Esp,Est,Fra,Gre,Hol,Hun,Ita,Let,Lit,Lux,Mac,Mol,Pol,Por,R.Che,Rum,Rus,Ser,Sui,Ucr
Albania,1,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,,
Alemania,,1,1,1,,,,,1,,,,,1,,1,,,,,1,,,1,,1,,,,1,
Austria,,1,1,,,,,,,1,1,,,,,,1,1,,,,,,,,1,,,,1,
Bélgica,,1,,1,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,
Bielorrusia,,,,,1,,,,,,,,,,,,,,1,1,,,,1,,,,1,,,1
Bosnia,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,
Bulgaria,,,,,,,1,,,,,,,,1,,,,,,,1,,,,,1,,1,,
Croacia,,,,,,1,,1,,,1,,,,,,1,,,,,,,,,,,,1,,
Dinamarca,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Eslovaquia,,,1,,,,,,,1,,,,,,,1,,,,,,,1,,1,,,,,1
Eslovenia,,,1,,,,,1,,,1,,,,,,1,1,,,,,,,,,,,,,
España,,,,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,
Estonia,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,
Francia,,1,,1,,,,,,,,1,,1,,,,1,,,1,,,,,,,,,1,
Grecia,1,,,,,,1,,,,,,,,1,,,,,,,1,,,,,,,,,
Holanda,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Hungria,,,1,,,,,1,,1,1,,,,,,1,,,,,,,,,,1,,1,,1
Italia,,,1,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,1,
Letonia,,,,,1,,,,,,,,1,,,,,,1,1,,,,,,,,1,,,
Lituania,,,,,1,,,,,,,,,,,,,,1,1,,,,1,,,,1,,,
Luxemburgo,,1,,1,,,,,,,,,,1,,,,,,,1,,,,,,,,,,
Macedonia,1,,,,,,1,,,,,,,,1,,,,,,,1,,,,,,,1,,
Moldavia,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1
Polonia,,1,,,1,,,,,1,,,,,,,,,,1,,,,1,,1,,1,,,1
Portugal,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,
R. Checa,,1,1,,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,
Rumania,,,,,,,1,,,,,,,,,,1,,,,,,1,,,,1,,1,,1
Rusia,,,,,1,,,,,,,,1,,,,,,1,1,,,,1,,,,1,,,1
Serbia,1,,,,,1,1,1,,,,,,,,,1,,,,,1,,,,,1,,1,,
Suiza,,1,1,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,
Ucrania,,,,,1,,,,,1,,,,,,,1,,,,,,1,1,,,1,1,,,1
